tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
31,7,40.0,3.512,33.004096000000004,2.0489955440646863,0.2,2.503089329843334,160.0,399.0,400.0,99.8,-3.4458622655491107,-3.033163390321475,-4.2683761088460113,-3.4634260927388296,3.483904,-1.9085372950138346,-2.8850116663557968,-2.9179353551382903,-1.5447316237733322,-2.7817884429210959,200,100,57,41,100,7.299642834444445
32,8,40.0,3.512,33.004096000000004,2.199926107170842,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-2.3089328496055774,-2.9671742749942864,-4.1804444776757599,-3.3400990032414133,3.483904,-1.7545244345839039,-2.4387147474300708,-2.2932789343831361,-1.4475321186662171,-2.6626515232136549,200,100,72,47,100,7.160538267499998
33,9,40.0,3.512,33.004096000000004,2.2002425541594728,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-1.342708238149054,-2.8191591463523515,-4.0896806203526603,-3.210636512513771,3.483904,-1.6177775696550878,-1.9663074202759256,-2.3225939633629844,-1.2920694662391652,-2.5645366031661343,200,100,68,54,100,7.1282757566666675
34,10,17.126885247999997,3.329015081984,10.49548720468789,2.0864121841078584,0.2,10.295487204687902,68.50754099199999,399.0,400.0,99.8,-0.4996101303924271,-2.7236915108022455,-4.0488266244515758,-3.1642998475751094,3.3023829613281284,-1.5709497650843174,-2.0042681252347982,-2.2414345776670119,-1.1960300606829177,-2.5231950374895451,200,100,85,61,100,7.126375048055557
35,11,2.7076949063999964,3.2136615592512,0,2.0344949797234819,0.1996,0,10.830779625599984,395.3060810803716,400.0,99.6004,-0.03283842295258452,-2.7055539214749142,-4.0311058722885473,-3.1642998475751094,3.1879522667771902,-1.5772010746932796,-2.0617593885001728,-2.341762816954529,-1.1835485910260957,-2.5118171298231795,200,101,85,74,100,7.1548654411111094
36,12,0.0,3.162448648642973,0,2.0340421304890488,0.19920079999999998,0,0.0,389.00648337227483,400.0,99.4011992,-0.03283842295258452,-2.7055539214749142,-4.0136624088165052,-3.1642998475751094,3.137149059453829,-1.5897001020758195,-1.9645369562132364,-2.1308355950282465,-1.1962532440608076,-2.5077338626936507,201,102,95,81,100,7.2147599019444435
37,1,3.8894590780000002,3.143167539602199,0,2.0341212183828303,0.1988023984,0,15.557836312000001,386.63475271138725,400.0,99.20239680159999,-2.2878310118,-2.701418688738757,-3.9963057034439475,-3.1642998475751094,3.1180221992853814,-1.5902613244748176,-1.9451737476731124,-2.3183921438137967,-1.1919879065205308,-2.4909229276351974,201,103,88,84,100,7.217319782499999
38,2,0.0,3.093078021691098,0,2.0337063935155215,0.19840479360319999,0,0.0,380.4733412921786,400.0,99.00399200799679,-1.455146085001353,-2.701418688738757,-3.9792221635438589,-3.1642998475751094,3.068333397517569,-1.5949759776693329,-1.941736734855759,-2.1106356968879636,-1.1960542770766969,-2.4792696904885059,202,105,94,83,100,7.241739376111113
39,3,0.0,3.0437867303374286,0,2.0334589896043229,0.19800798401599357,0,0.0,374.4101181253464,400.0,98.8059840239808,-2.3753363755,-2.701418688738757,-3.9624865501175379,-3.1642998475751094,3.019436436494729,-1.5998547301220301,-2.0050645088535157,-2.37088018370335,-1.2003321346105711,-2.467482548171307,202,106,91,87,100,7.264003603611112
40,4,0.39419388200000044,2.9984344960587714,0,2.033198890173133,0.1976119680479616,0,1.5767755280000018,368.83143049119735,400.0,98.60837205593283,-2.1661008186000004,-2.7008556775284434,-3.9460342680310072,-3.1642998475751094,2.974447020090301,-1.6016538316129258,-2.2495748606947696,-2.3441249840172595,-1.2002098964508656,-2.4528397170541227,202,108,89,83,100,7.272214890000004
