tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
29,5,40.4645914,1.7282728444902746,0,2.3875319722427935,0.09454861164790003,0,161.8583656,197.1613660994505,400.0,47.179757212302114,-3.293160543,-2.6845328444209837,-3.5861531848556059,-4.0,17.144466617343525,-3.4322921274837492,-3.4462717655452391,-3.4622712527673238,-2.1700690410748624,-3.2571291998859664,1110,797,165,161,262,12.876895277777773
30,6,60.0,2.057290928795604,0,2.4600192747338134,0.09435951442460423,0,240.0,234.69574915700252,400.0,47.08539769787751,-3.7391559197422195,-2.930593850702943,-3.7161931793285574,-4.0,20.408326013652392,-3.0754060603492839,-3.745423346378618,-3.5856598545283003,-2.1716391241818345,-3.2378357711034811,1044,628,142,106,246,12.717754722222217
31,7,60.0,2.3575659932560202,0,2.3245008380266556,0.09417079539575503,0,240.0,268.9511285106468,400.0,46.991226902481756,-3.5217958733275925,-3.050962473117584,-3.7509231459449395,-4.0,23.38705465309972,-3.3041535283906409,-3.8363472931408626,-3.5622969432437257,-2.484756881987682,-3.3341239826799596,1102,577,178,118,259,12.573893611111107
32,8,60.0,2.6316090280851747,0,2.3189520922862408,0.09398245380496352,0,240.0,300.21395792395674,400.0,46.897244448676794,-2.9333469789521924,-3.0295096522019835,-3.731342926236735,-4.0,26.105561558604933,-3.3085865207401755,-3.6162448325226526,-3.4078351839497145,-2.4880825338446932,-3.3072494351065185,1014,475,165,126,238,12.452342222222217
33,9,57.25074,2.859717583391654,0,2.2597931369452171,0.09379448889735359,0,229.00295999999997,326.23658191331987,400.0,46.80344995977944,-2.2908407673489664,-2.911206109171264,-3.6644273125259286,-4.0,28.368398427245207,-3.1136750963679516,-3.244089647780557,-3.1295717315698024,-2.2688638282706286,-3.166556449861524,995,428,178,133,233,12.413758888888882
34,10,46.620293999999994,2.982855007306559,0,2.2704481029240591,0.09360689991955888,0,186.48117599999995,340.28409923353223,400.0,46.709843059859885,-1.2106835149708848,-2.69858065308689,-3.573574046607237,-4.0,29.589921672481065,-3.1947661034665842,-2.9524842311686728,-2.9872709242618756,-2.1150077333106365,-3.1079386584718094,1023,421,181,147,239,12.454215833333329
35,11,11.753713199999988,2.8163024994682577,0,2.1178213751638002,0.09341968611971978,0,47.01485279999995,321.28378913933886,400.0,46.61642337374017,-1.1626171159217151,-2.6472984491193667,-3.5332822152444225,-4.0,27.93772079472512,-3.2747039040594839,-2.9007233380400343,-3.0176300619570995,-2.1017435489967262,-3.1032197032948572,1042,453,240,183,243,12.511653333333335
36,12,0.0,2.570270313114711,0,2.1399760553237637,0.09323284674748034,0,0.0,291.04020942012625,400.0,46.523190526992686,-1.0896196821824113,-2.582011612119367,-3.488294472027714,-4.0,25.497081506097935,-3.2861081256110314,-2.8842580789066874,-2.9586805901606894,-2.0199838081932375,-3.0632940931066832,1126,540,252,249,262,12.560706111111116
37,1,0.0,2.32832167536101,0,2.2063570718059391,0.09304638105398537,0,0.0,263.391381125184,400.0,46.4301441459387,-0.98095065,-2.5153049441193667,-3.4382675445920703,-4.0,23.09695101958122,-3.5492575901797663,-2.9766323562702146,-3.0726592343057746,-2.1257517954578198,-3.1203455202383212,1072,567,212,205,249,12.56787416666667
38,2,0.0,2.107131049001472,0,2.1507066706530118,0.0928602882918774,0,0.0,238.40470477008796,400.0,46.337283857646824,-1.54501345,-2.456000785119367,-3.4006772707306467,-4.0,20.902740006094604,-3.3786216081724829,-3.0175407637798024,-3.0497464264558349,-1.9233929050271881,-3.0115700858600603,1104,644,240,207,256,12.542642222222227
39,3,0.0,1.9072376381607037,0,2.1531391788816143,0.09267456771529364,0,0.0,216.16911966137306,400.0,46.24460928993153,-2.2719249,-2.413744282119367,-3.3677767772338543,-4.0,18.919797370554182,-3.5548924115379466,-3.171634715637861,-3.1295783055896864,-2.0071808869824848,-3.0466005568043908,1094,702,235,222,253,12.531351944444445
40,4,10.03368,1.8096223972909846,0,2.2242860518534271,0.09248921857986307,0,40.13472,206.44172308295552,400.0,46.15212007135167,-2.320695667,-2.4096169237049327,-3.3397484172229253,-4.0,17.951454181126568,-3.4153798713720818,-3.1146379770909949,-3.0239086894270351,-1.8802931285701874,-2.9591451213945019,1139,764,214,202,263,12.513481111111112
41,5,18.280814000000003,1.797780296663644,0,2.2234671658620737,0.09230424014270333,0,73.123256,205.09077624338852,400.0,46.059815831208965,-2.7595520086843277,-2.438083575441875,-3.3498569870708592,-4.0,17.83398054290335,-3.3537026317331797,-3.2422121579744889,-3.1830888904909038,-1.856345527977199,-2.9461290027182896,1137,766,212,179,262,12.523605694444445
42,6,48.288065200000005,2.027030731547108,0,2.3496875056687783,0.09211963166241793,0,193.1522608,231.2436658548941,400.0,45.967696199546545,-3.5532855546452065,-2.65061492011207,-3.4557944448753135,-4.0,20.108144856947312,-3.0247670326947196,-3.5300411158288858,-3.3211108448257809,-1.8437457081693642,-2.9338723787147858,1070,638,165,142,246,12.505460277777775
43,7,60.0,2.3299493268391527,0,2.509599726384919,0.0919353923990931,0,240.0,265.8006192058105,400.0,45.87576080714745,-3.570470631971897,-2.840117213834357,-3.583961967158209,-4.0,23.113097322244393,-3.2867123726734171,-3.743795306784814,-3.4475807220881727,-2.2582884632887934,-3.1539497515123971,1129,584,143,112,259,12.511339444444445
44,8,60.0,2.606404953646484,0,2.3357526640306334,0.09175152161429491,0,240.0,297.33867711199093,400.0,45.78400928553316,-3.0237483122606577,-2.873935031407681,-3.579204298578512,-4.0,25.855537140173123,-3.3120144952993869,-3.5635451228547277,-3.3028982480218794,-2.3380918338017365,-3.1628739459942379,1039,480,163,104,238,12.489431111111113
45,9,48.139199999999995,2.7638230168959277,0,2.2065686515671024,0.09156801857106632,0,192.55679999999998,315.2969297674874,400.0,45.69244126696209,-2.535695356251915,-2.826804409017697,-3.5256056669992901,-4.0,27.417124327607603,-3.1265808753017099,-3.1867390439691556,-3.0296563260869824,-2.1939097242759109,-3.0470974178034016,1019,443,195,141,233,12.507532500000003
46,10,21.316403999999995,2.6929066701398994,0,2.1668228661135358,0.09138488253392418,0,85.26561599999998,307.2067929295597,400.0,45.60105638442817,-1.9001374892349672,-2.768122222502862,-3.4700731558102955,-4.0,26.713634167787802,-3.2012654847739519,-2.8834999026545738,-2.8952279191681862,-2.1718701466025836,-3.0164225331775762,1048,466,215,183,239,12.511883888888896
